MODEL,DATASET,SAMPLE,LABELS,ISROAD,CLASS,PRECISION,RECALL,F1SCORE,KAPPA,TRAINTIME,PREDICTTIME,FSELECTOR,NFEATURES
RF,3,3877325,3,False,2,0.5176746422989058,0.5115546842511733,0.5145964681626677,0.7256868612801524,13399.34722161293,33.425992250442505,None,143
RF,3,3877325,3,False,3,0.7094170403587444,0.6287258564502027,0.6666385740171085,0.7256868612801524,13399.34722161293,33.425992250442505,None,143
RF,3,3877325,3,False,4,0.9825713979928705,0.9891813043214004,0.985865271963071,0.7256868612801524,13399.34722161293,33.425992250442505,None,143
RF,3,3877325,3,False,5,0.9579290176791174,0.9347558207406447,0.946200558017397,0.7256868612801524,13399.34722161293,33.425992250442505,None,143
SVM,3,100000,3,False,1,0.375,0.03468208092485549,0.06349206349206349,0.6140543720789846,201.30796790122986,22.598000049591064,None,143
SVM,3,100000,3,False,2,0.5087719298245614,0.2672811059907834,0.35045317220543815,0.6140543720789846,201.30796790122986,22.598000049591064,None,143
SVM,3,100000,3,False,3,0.7142857142857143,0.37037037037037035,0.4878048780487805,0.6140543720789846,201.30796790122986,22.598000049591064,None,143
SVM,3,100000,3,False,4,0.9684281701862062,0.997214932247871,0.9826107607462332,0.6140543720789846,201.30796790122986,22.598000049591064,None,143
SVM,3,100000,3,False,5,0.9751381215469613,0.8869346733668342,0.9289473684210525,0.6140543720789846,201.30796790122986,22.598000049591064,None,143
SGD,3,3877325,4,False,1,0.4195452457510335,0.6352855254921055,0.5053531413395302,0.5088186592796091,183.27325177192688,2.792196273803711,None,143
SGD,3,3877325,4,False,2,0.388914983560357,0.02543231870258316,0.04774260508562532,0.5088186592796091,183.27325177192688,2.792196273803711,None,143
SGD,3,3877325,4,False,3,0.9502019916403737,0.9713841284015066,0.9606763119571693,0.5088186592796091,183.27325177192688,2.792196273803711,None,143
SGD,3,3877325,4,False,4,0.8992861778066191,0.9030366219210217,0.9011574977240214,0.5088186592796091,183.27325177192688,2.792196273803711,None,143
SGD,3,3877325,3,False,1,0.2684872660325253,0.3917910447761194,0.31862596346422284,0.5893680896407498,173.0951373577118,1.7539288997650146,None,143
SGD,3,3877325,3,False,2,0.39483639742483573,0.35341293887007663,0.3729780564263323,0.5893680896407498,173.0951373577118,1.7539288997650146,None,143
SGD,3,3877325,3,False,3,0.3466693952726901,0.5385899372068993,0.4218258785445264,0.5893680896407498,173.0951373577118,1.7539288997650146,None,143
SGD,3,3877325,3,False,4,0.9813322949204302,0.971227960637187,0.9762539832408829,0.5893680896407498,173.0951373577118,1.7539288997650146,None,143
